stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00098P,,Baileys Lagoon City,,-6.315461,106.746770,1,,0,2,,
B00099P,,Bakti Mulia 400,,-6.275838,106.776750,1,,0,2,,
B00100P,,Baladewa Residence,,-6.229648,106.910380,1,,0,2,,
B00101P,,Balai Kartini,,-6.234791,106.824570,1,,0,2,,
B00102P,,Balai Kota 1,,-6.180598,106.828470,1,,0,2,,
B00103P,,Balai Nikah Kembangan Utara,,-6.181467,106.734480,1,,0,2,,
B00104P,,Balai Pertamina,,-6.229555,106.790520,1,,0,2,,
B00105P,,Balai Sudirman,,-6.227043,106.847420,1,,0,2,,
B00107P,,Bamed Health Care,,-6.203485,106.731020,1,,0,2,,
B00108P,,Bandar Djakarta Bekasi,,-6.227085,106.996830,1,,0,2,,
B00109P,,Bangau VI,,-6.169278,106.842710,1,,0,2,,
B00110P,,Bangunan Timur 1,,-6.189634,106.885510,1,,0,2,,
B00111P,,Bangunan Timur 2,,-6.189526,106.885710,1,,0,2,,
B00113P,,Bank Indonesia 2,,-6.182667,106.822750,1,,0,2,,
B00114P,,UPT. LLHD 1,,-6.225770,106.835070,1,,0,2,,
B00115P,,UPT. LLHD 2,,-6.225501,106.834890,1,,0,2,,
B00116P,,Bapindo Menteng,,-6.187095,106.835660,1,,0,2,,
B00117P,,Batalyon Kavaleri 1,,-6.252806,106.650640,1,,0,2,,
B00118P,,Batalyon Kavaleri 2,,-6.252704,106.650810,1,,0,2,,
B00119P,,Batan H Kaman,,-6.296551,106.773380,1,,0,2,,
B00120P,,Baung,,-6.302036,106.836560,1,,0,2,,
B00121P,,Baywalk 1,,-6.109908,106.778280,1,,0,2,,
B00122P,,Baywalk 2,,-6.110359,106.779610,1,,0,2,,
B00123P,,BBPK Jakarta,,-6.302219,106.798000,1,,0,2,,
B00124P,,Bella Terra,,-6.175296,106.895670,1,,0,2,,
B00125P,,Benhil 1,,-6.217304,106.815400,1,,0,2,,
B00126P,,Benhil 2,,-6.216775,106.815400,1,,0,2,,
B00128P,,Benteng Betawi,,-6.174158,106.655590,1,,0,2,,
B00130P,,Bermis 1,,-6.178022,106.898530,1,,0,2,,
B00131P,,Bermis 2,,-6.178353,106.898410,1,,0,2,,
B00132P,,Beverly Tower,,-6.291805,106.786360,1,,0,2,,
B00133P,,Bhayangkara 1,,-6.236949,106.645490,1,,0,2,,
B00134P,,Bhayangkara 2,,-6.236714,106.645590,1,,0,2,,
B00135P,,Bidan Ningsih Joglo,,-6.216023,106.729090,1,,0,2,,
B00136P,,Bidara 1,,-6.106097,106.959500,1,,0,2,,
B00137P,,Bidara 2,,-6.106075,106.959420,1,,0,2,,
B00139P,,Bidara Cina 2,,-6.229940,106.867090,1,,0,2,,
B00140P,,Billy Moon,,-6.248271,106.930930,1,,0,2,,
B00141P,,Billy Moon 2,,-6.248131,106.929440,1,,0,2,,
B00142P,,Bimbel Calistung,,-6.222933,106.939010,1,,0,2,,
B00144P,,Bintaro,,-6.271245,106.751330,1,,0,2,,
B00145P,,Bintaro Gg. Masjid,,-6.270260,106.752170,1,,0,2,,
B00146P,,Bintaro Kodam,,-6.260196,106.765940,1,,0,2,,
